id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126067;POL 19 DE JUNIO;2;ARTIGAS;2020;ARTIGAS;;;;;;AVDA. CARLOS MARIA RAMIREZ;;;;;;;;A CHEVESTE esquina CARLOS MARIA RAMIREZ;;14-03-2026;47738010;;;;;;;548922.584844277;6636702.45122295;-56.4907;-30.4007;POLICLINICA ALVARO GIMENEZ;
126068;POL AJUPAR;2;ARTIGAS;2020;ARTIGAS;;EDUARDO M CASTRO;;;;JOAQUIN SUAREZ;;;;;;;;EDUARDO M CASTRO esquina JOAQUIN SUAREZ;;14-03-2026;47725094;;;;;;;551880.540689853;6636544.67731811;-56.4599;-30.402;POLICLINICA AJUPAR;
126069;POL AYUI;2;ARTIGAS;2020;ARTIGAS;;EMILIO MELLO;;;;CARLOS M PERICHON;;;;;;;;EMILIO MELLO esquina C M PERICHON;;14-03-2026;1884 4210;;;;;;;552055.676428296;6635003.44247329;-56.458;-30.4159;POLICLINICA AYUI;
126070;POL BARRIO SUR;2;ARTIGAS;2020;ARTIGAS;;IBIRAPITA;27;;;HERNANDARIAS;;;;;;;;IBIRAPITA 27 esquina HERNANDARIAS;;14-03-2026;99005034;;;;;;;549433.093898873;6634893.78487106;-56.4853;-30.417;POLICLINICA BARRIO SUR;
126071;POL CATALA;2;ARTIGAS;2020;ARTIGAS;;SANTIAGO MONTES;;;;JUAN BAUTISTA TORRES;;;;;;;;SANTIAGO MONTES esquina JUAN BAUTISTA TORRES;;14-03-2026;18844540;;;;;;;551107.724191124;6637667.61470046;-56.468;-30.3919;POLICLINICA CATALA;
126072;POL COBAZO;2;ARTIGAS;2020;ARTIGAS;;ATANASIO SIERRA;122;;;CARMELO COLMAN;;;;;;;;ATANASIO SIERRA 122 esquina CARMELO COLMAN;;14-03-2026;47736579;;;;;;;549474.588069985;6635569.59562489;-56.4849;-30.4109;POLICLINICA COBAZO;
126073;POL FABINI;2;ARTIGAS;2020;ARTIGAS;;OLIMAR;;;;QUEGUAY;;;;;;;;OLIMAR esquina QUEGUAY;;14-03-2026;18844270;;;;;;;551575.398488986;6634994.65006801;-56.463;-30.416;POLICLINICA FABINI;
126074;POL GOMEZ GOTUZZO;2;ARTIGAS;2020;ARTIGAS;;GERARDO MATOS RODRIGUEZ;1;;;FRANCISCO CANARO;;;;;;;;GERARDO MATTOS RODRIGUEZ 1 esquina FRANCISCO CANARO;;14-03-2026;47736598;;;;;;;551295.351370886;6634674.5973381;-56.4659;-30.4189;POLICLINICA GOMEZ GOTUZZO;
126075;POL LAS FLORES;2;ARTIGAS;2020;ARTIGAS;;;37;;;;;;;;;;;37 esquina FRANCSICO SANCHEZ;;14-03-2026;47738334;;;;;;;550535.771344017;6636562.09143998;-56.4739;-30.4019;POLICLINICA LAS FLORES;
126076;POL PUEBLO NUEVO;2;ARTIGAS;2020;ARTIGAS;;DR. HUGO J POLITO;115;;;DR. MANUEL J TERAM;;;;;;;;HUGO J POLITO 115 esquina MANUEL J TERAM;;14-03-2026;47736581;;;;;;;551588.066829964;6637665.34763642;-56.463;-30.3919;POLICLINICA PUEBLO NUEVO;
126077;POL RINCON PACHECO;2;ARTIGAS;2020;ARTIGAS;;;;;;;;;;;;;;RUTA 30 esquina CAMINO VECINAL;;14-03-2026;47702240;;;;;;;579778.81553802;6602916.46678371;-56.1669;-30.7039;POLICLINICA RINCON PACHECO;
126078;POL VITOPA;2;ARTIGAS;2020;ARTIGAS;;CUAREIM;;;;ARAPEY;;;;;;;;CUAREIM esquina ARAPEY;;14-03-2026;47736589;;;;;;;551296.92045633;6635007.04991969;-56.4659;-30.4159;POLICLINICA VITOPA;
126081;POL BARRIO EXTENSION SUR;2;ARTIGAS;2021;BELLA UNION;;;;63;;;;;;;;;;CONTINUACION PEDRO ACOSTA KM 63 esquina A21;;14-03-2026;47794254;;;;;;;442862.97138981;6651589.81422635;-57.594;-30.266;POLICLINICA BARRIO EXTENSION SUR;
126082;POL TORTUGUITA II;2;ARTIGAS;2021;BELLA UNION;;;;;;;;;;;;;;CONTINUACION APARICIO SARAVIA;;14-03-2026;47793022;;;;;;;443050.104369848;6652599.23842508;-57.592;-30.2569;POLICLINICA TORTUGUITA II;
126083;POL UTAA;2;ARTIGAS;2021;BELLA UNION;;APARICIO SARAVIA;456;;;MONES QUINTELA;;;;;;;;APARICIO SARAVIA 456 esquina MONES QUINTELA;;14-03-2026;47792263  47798425;;;;;;;441716.455100778;6651927.30130196;-57.6059;-30.2629;POLICLINICA UTAA;
126084;POL TOMAS GOMENSORO;2;ARTIGAS;2522;TOMAS GOMENSORO;;INDEPENDENCIA;;;;MANUEL JESUS GONZALEZ;;;;;;;;INDEPENDENCIA esquina MANUEL JESUS GONZALEZ;;14-03-2026;47772042;;;;;;;457746.486993634;6633605.3272501;-57.44;-30.4289;POLICLINICA TOMAS GOMENSORO;
126085;POL BALTASAR BRUM;2;ARTIGAS;2621;BALTASAR BRUM;;;;;;DR. JUAN JOSE ERRANDONEA;;;;;;;;esquina JUAN JOSE ERRANDONEA;;14-03-2026;47762101;;;;;;;468596.222780972;6601282.76793876;-57.328;-30.7209;POLICLINICA BALTASAR BRUM;
126086;POL BERNABE RIVERA;2;ARTIGAS;2721;BERNABE RIVERA;;HIPOLITO IPAR;1270;;;PEDRO DE BAZAN;;;;;;;;HIPOLITO IPAR 1270 esquina PEDRO DE BAZAN;;14-03-2026;47702494;;;;;;;502884.720366502;6648092.97079425;-56.97;-30.2989;POLICLINICA BERNABE RIVERA;
126087;POL LAS LAMINAS;2;ARTIGAS;2724;FRANQUIA;;;;;;;;;;;;;;CUAREIM esquina CALLE 6;;14-03-2026;47709275;;;;;;;443725.151388427;6654154.18584389;-57.5849;-30.2429;POLICLINICA LAS LAMINAS;
126088;POL SEQUEIRA;2;ARTIGAS;2725;SEQUEIRA;;;;128;;;;;;;;;;RUTA 4 KM 128;;14-03-2026;47706060;;;;;;;512412.030240104;6571620.9740361;-56.87;-30.9889;POLICLINICA SEQUEIRA;
126089;POL NUEVO CORONADO;2;ARTIGAS;2822;CORONADO;;ING. ALFREDO MONES QUINTELA;;;;;;;;;;;;ALFREDO MONES QUINTELA esquina CALLEJON J BENINCA;;14-03-2026;;;;;;;;442196.073036088;6650367.30217494;-57.601;-30.277;POLICLINICA NUEVO CORONADO;
126090;POL CUAREIM;2;ARTIGAS;2823;CUAREIM;;;;;;;;;;;;;;CUAREIM;;14-03-2026;;;;;;;;445340.663814709;6656267.90597867;-57.568;-30.2239;POLICLINICA CUAREIM;
126091;POL CUARO;2;ARTIGAS;2824;CUARO;;;;;;;;;;;;;;ESTACION CUARO;;14-03-2026;47701130;;;;;;;509105.79948353;6613404.15915017;-56.905;-30.6119;POLICLINICA CUARO;
126092;POL GUAYUBIRA;2;ARTIGAS;2824;CUARO;;;;;;;;;;;;;;GUAYUBIRA;;14-03-2026;;;;;;;;556519.560250142;6625339.6546064;-56.411;-30.5029;POLICLINICA GUAYUBIRA;
126093;POL PAGUERO;2;ARTIGAS;2824;CUARO;;;;;;;;;;;;;;CUARO CHICO PAGUERO;;14-03-2026;;;;;;;;521656.673316506;6610615.77028378;-56.774;-30.6369;POLICLINICA PAGUERO;
126094;POL JAVIER DE VIANA;2;ARTIGAS;2826;JAVIER DE VIANA;;;;98;;;;;;;;;;RUTA 30 KM 98;;14-03-2026;;;;;;;;520367.394369492;6633324.87609498;-56.7879;-30.432;POLICLINICA JAVIER DE VIANA;
126095;POL LAS PIEDRAS;2;ARTIGAS;2900;;;;;;;;;;;;;;;A5 entre B31 y B32;;14-03-2026;47793533;;;;;;;444015.495319097;6653823.22099516;-57.5819;-30.2459;POLICLINICA LAS PIEDRAS;
126096;POL PINTADITO;2;ARTIGAS;2830;PINTADITO;;;14;;;;;;;;;;;3 DE ABRIL 14 esquina BOHANES;;14-03-2026;18844220;;;;;;;552238.708417895;6633118.61932298;-56.456;-30.4329;POLICLINICA PINTADITO;
126097;POL PORTON DE FIERRO;2;ARTIGAS;2831;PORT. DE HIERRO Y CAMPODONICO;;;;622;;;;;;;;;;RUTA 3 KM 622;;14-03-2026;47798434;;;;;;;446246.879948786;6650066.60275402;-57.5589;-30.2799;POLICLINICA PORTON DE FIERRO;
126098;CALPICA;2;ARTIGAS;2833;MONES QUINTELA;;;3276;;;;;;;;;;;MONES QUINTELA 3276;;14-03-2026;47782262;;;;;;;436200.11737335;6639484.56311387;-57.664;-30.3749;POLICLINICA MONES QUINTELA;
126100;POL COLONIA RIVERA;2;ARTIGAS;2900;;;;;;;;;;;;;;;CAMINO VECINAL 25 DE AGOSTO;;14-03-2026;;;;;;;;542648.943625268;6636485.06246528;-56.556;-30.4029;POLICLINICA COLONIA RIVERA;
126101;POL DIEGO LAMAS;2;ARTIGAS;2900;;;;;;;;;;;;;;;ESTACION AFE DIEGO LAMAS;;14-03-2026;;;;;;;;494841.265160164;6597559.54620101;-57.0539;-30.7549;POLICLINICA DIEGO LAMAS;
126102;POL LA BOLSA;2;ARTIGAS;2900;;;;;;;;;;;;;;;PUEBLO LA BOLSA;;14-03-2026;;;;;;;;572832.632688776;6582794.47740188;-56.238;-30.8859;POLICLINICA LA BOLSA;
126103;POL CAINSA;2;ARTIGAS;2925;CAINSA;;;;614;;;;;;;;;;RUTA 3 KM 614;;14-03-2026;47782261;;;;;;;440926.363738695;6637959.74088638;-57.6149;-30.3889;POLICLINICA CAINSA;
126104;POL PASO CAMPAMENTO;2;ARTIGAS;2927;PASO CAMPAMENTO;;;;47;;;;;;;;;;RUTA 4 KM 47;;14-03-2026;;;;;;;;520952.984125327;6593761.28617082;-56.781;-30.789;POLICLINICA PASO CAMPAMENTO;
126105;POL PASO FARIAS;2;ARTIGAS;2945;PASO FARIAS;;;;58;;;;;;;;;;RUTA 30 KM 58;;14-03-2026;;;;;;;;488011.571684986;6628472.53085869;-57.1249;-30.4759;POLICLINICA PASO FARIAS;
126106;POL TOPADOR;2;ARTIGAS;2957;TOPADOR;;;;;;;;;;;;;;TOPADOR;;14-03-2026;;;;;;;;517318.127380997;6648190.43337029;-56.8199;-30.2979;POLICLINICA TOPADOR;
126107;POL CERRO EJIDO;2;ARTIGAS;2900;;;;;;;;;;;;;;;CALLE 2 entre PRINCIPAL y CALLE 6;;14-03-2026;18844230;;;;;;;551291.166455425;6633788.05637945;-56.4659;-30.4269;POLICLINICA CERRO EJIDO;
126108;POL COLONIA PALMA;2;ARTIGAS;2959;COLONIA PALMA;;;;596;;;;;;;;;;RUTA 3 KM 596;;14-03-2026;47708220;;;;;;;435378.122931928;6616206.69472758;-57.674;-30.5849;POLICLINICA COLONIA PALMA;
126109;CONS CASA PUEBLO;3;CANELONES;3525;PASO CARRASCO;;;164;;;URIAN CORREA;;;;;;;;CNO CARRASCO 164 esquina GARIBALDI;;14-03-2026;;;;;;;;587584.751378089;6142740.1549002;-56.0419;-34.8539;CONSULTORIO CASA PUEBLO;
126110;POL CENTRO DE BARRIO;3;CANELONES;3525;PASO CARRASCO;;;70;;;SERSALE;;;;;;;;CNO CARRASCO 70 esquina SERSALE;;14-03-2026;26011029;;;;;;;586561.630177948;6141862.60569173;-56.053;-34.8619;POLICLINICA CENTRO DE BARRIO;
126111;POL MELVIN JONES;3;CANELONES;3727;PARQUE CARRASCO;;;;;;;;;;;;;;CALIFORNIA esquina AMANECER;;14-03-2026;26822440;;;;;;;590961.610045897;6142141.616255;-56.0049;-34.859;POLICLINICA MELVIN JONES;
126113;POL CORFRISA;3;CANELONES;3221;LAS PIEDRAS;;VIVIAN TRIAS;;;;DR. ALFONSO ESPINOLA;;;;;;;;VIVIAN TRIAS esquina ALFONSO ESPINOLA;;14-03-2026;;;;;;;;570878.533508144;6157745.52272486;-56.2259;-34.7199;POLICLINICA CORFRISA;
126114;POL EL DORADO;3;CANELONES;3221;LAS PIEDRAS;;;;;;;;;;;;;;DORADO esquina RECONQUISTA;;14-03-2026;;;;;;;;571531.452537522;6159282.00292594;-56.2189;-34.706;POLICLINICA EL DORADO;
126116;POL HERTEN;3;CANELONES;3221;LAS PIEDRAS;;DR. AMERICO RICALDONI;;;;;;;;;;;;AMERICO RICALDONI esquina BOLIVIA;;14-03-2026;;;;;;;;570418.082654409;6157405.26117025;-56.2309;-34.723;POLICLINICA HERTEN;
126117;POL HIPODROMO;3;CANELONES;3221;LAS PIEDRAS;;;;;;SAN CONO;;;;;;;;AVDA BICENTENARIO esquina SAN CONO;;14-03-2026;;;;;;;;572796.129450104;6157065.15488724;-56.2049;-34.7259;POLICLINICA HIPODROMO;
126118;POL LAURES;3;CANELONES;3221;LAS PIEDRAS;;VIRGEN DE LOURDES;;;;LA GRUTA;;;;;;;;VIRGEN DE LOURDES esquina LA GRUTA;;14-03-2026;;;;;;;;572428.503082039;6158055.07909298;-56.209;-34.717;POLICLINICA LAURES;
126119;POL OBELISCO;3;CANELONES;3221;LAS PIEDRAS;;SIMON BOLIVAR;120;;;SAN LUIS;;;;;;;;SIMON BOLIVAR 120 esquina SAN LUIS;;14-03-2026;23649284;;;;;;;573718.811130745;6157945.03108394;-56.1949;-34.7179;POLICLINICA OBELISCO;
126120;POL SAN MARCOS;3;CANELONES;3221;LAS PIEDRAS;;FEDERICO OZANAM;;;;JULIO SOSA;;;;;;;;FEDERICO OZANAM esquina JULIO SOSA;;14-03-2026;;;;;;;;571871.025964542;6155852.50287537;-56.2149;-34.7369;POLICLINICA SAN MARCOS;
126121;POL VILLA JUANITA;3;CANELONES;3221;LAS PIEDRAS;;JULIO SOSA;;;;PASO DE LOS TOROS;;;;;;;;JULIO SOSA esquina PASO DE LOS TOROS;;14-03-2026;;;;;;;;571774.290939112;6155187.84653796;-56.2159;-34.7429;POLICLINICA VILLA JUANITA;
126122;POL VISTA LINDA;3;CANELONES;3221;LAS PIEDRAS;;MAGALLANES;;;;;;;;;;;;MAGALLANES esquina ASENCIO;;14-03-2026;;;;;;;;571633.460054702;6160623.11362139;-56.2179;-34.6939;POLICLINICA VISTA LINDA;
126124;POL VILLA NELLY  POL PIO X;3;CANELONES;3320;CANELONES;;AVDA. EDUARDO MARTINEZ MONEGAL;;;;JOSE ARTIGAS;;;;;;;;EDUARDO MARTINEZ MONEGAL esquina JOSE GERVASIO ARTIGAS;;14-03-2026;;;;;;;;566463.980691027;6179292.69211862;-56.2758;-34.5259;CONSULTORIO DEL PRADO;
126125;POL JUNTA LOCAL VIEJA;3;CANELONES;3321;LA PAZ;;ALFREDO ZITARROSA;;;;PARAGUAY;;;;;;;;VALDENEGRO esquina PARAGUAY;;14-03-2026;;;;;;;;570494.442040523;6155419.54286832;-56.2299;-34.7409;POLICLINICA ANTELO;
126126;POL LA PAZ;3;CANELONES;3321;LA PAZ;;EMILIO ANDREON;;;;GARIBALDI;;;;;;;;E ANDREON esquina GARIBALDI;;14-03-2026;;;;;;;;570746.266704575;6153643.18276034;-56.227;-34.7569;POLICLINICA LA PAZ;
126127;POL TISCORNIA;3;CANELONES;3321;LA PAZ;;MANUEL TISCORNIA;;;;JAVIER DE VIANA;;;;;;;;MANUEL TISCORNIA esquina JAVIER DE VIANA;;14-03-2026;;;;;;;;570194.585733924;6153314.70441464;-56.233;-34.7599;POLICLINICA TISCORNIA;
126129;POL BARRIO ESTADIO;3;CANELONES;3322;PANDO;;DR. MANUEL QUINTELA;;;;;;;;;;;;MANUEL QUINTELA;;14-03-2026;;;;;;;;595434.201941051;6159076.54339932;-55.9579;-34.7059;POLICLINICA BARRIO ESTADIO;
126130;BPS PANDO;3;CANELONES;3322;PANDO;;BALTASAR BRUM;;;;GRAL. GARIBALDI;;;;;;;;BALTASAR BRUM esquina GARIBALDI;;14-03-2026;;;;;;;;594871.003023706;6157751.44965854;-55.9639;-34.7179;Centro de Promocion Social y de Salud BPS Pando;
126132;POL PROGRESO;3;CANELONES;3343;18 DE MAYO;;;;;;;;;;;;;;MALDONADO esquina VIA FERREA;;14-03-2026;;;;;;;;571838.149823694;6163382.95080411;-56.2159;-34.669;POLICLINICA PROGRESO;
126133;POL VILLA ALEGRIA;3;CANELONES;3343;18 DE MAYO;;;;;;;;;;;;;;CICLAMOR esquina LOS ALGARROBOS;;14-03-2026;;;;;;;;571553.052241078;6162065.4487978;-56.2189;-34.6809;POLICLINICA VILLA ALEGRIA;
126135;CONS UTU;3;CANELONES;3422;SAN RAMON;;AVDA. JOSE BATLLE Y ORDO�EZ;;;;PEDRO T PI�EIRO;;;;;;;;JOSE BATLLE Y ORDONEZ esquina PEDRO T PINEIRO;;14-03-2026;;;;;;;;595902.537995965;6204531.88089023;-55.9579;-34.296;CONSULTORIO UTU;
126136;POL MEVIR;3;CANELONES;3422;SAN RAMON;;;;;;;;;;;;;;RUTA 6;;14-03-2026;;;;;;;;595602.50524238;6203093.22815282;-55.961;-34.309;POLICLINICA MEVIR;
126137;INTERIN BARROS BLANCOS;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;RUTA 8;;14-03-2026;2288 6508;;;;;;;589783.85553794;6152589.77817499;-56.0189;-34.7649;INTERIN BARROS BLANCOS;
126138;POL PASO ESCOBAR;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;IBIRAPITA esquina LAS ANACAGUITAS;;14-03-2026;;;;;;;;589580.75533654;6151471.58605116;-56.021;-34.775;POLICLINICA CHEDIAK;
126139;POL ENTRE TODOS;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;CANELONES esquina TOLEDO;;14-03-2026;;;;;;;;591048.248966142;6151800.98335224;-56.005;-34.7719;POLICLINICA ENTRE TODOS;
126140;POL HURACAN SIRE;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;17 DE JULIO esquina RINCON;;14-03-2026;;;;;;;;590247.520799009;6154137.95431992;-56.014;-34.7509;POLICLINICA HURACAN SIRE;
126141;POL VENTURA;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;CNO VENTURA esquina LAS CAMELIAS;;14-03-2026;;;;;;;;591253.515086928;6153118.76224174;-56.0029;-34.76;POLICLINICA VENTURA;
126142;CONS EL REMANSO;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;BANADO DE ORO esquina ARROYO YERBAL;;14-03-2026;;;;;;;;589402.687620864;6151040.7775009;-56.0229;-34.7789;CONSULTORIO EL REMANSO;
126143;CENTRO CIVICO SALVADOR ALLENDE;3;CANELONES;3521;BARROS BLANCOS;;;;;;;;;;;;;;SAUCE esquina SANTA ROSA;;14-03-2026;;;;;;;;591324.869367034;6152008.96614238;-56.002;-34.77;POLICLINICA LA LOMA;
126144;INTERIN COLONIA NICOLICH;3;CANELONES;3523;COLONIA NICOLICH;;RUTA 101 CAP. JUAN ANTONIO ARTIGAS;;;;RUTA 102 WILSON FERREIRA ALDUNATE;;;;;;;;101 esquina RUTA 102;;14-03-2026;2684 0063;;;;;;;590732.462244801;6146702.28641979;-56.0079;-34.8179;INTERIN COLONIA NICOLICH;
126145;POL COLONIA NICOLICH;3;CANELONES;3523;COLONIA NICOLICH;;;;25.8;;LOS AROMOS;;;;;;;;PONCHITESTA KM 25800 esquina LOS AROMOS;;14-03-2026;26838858;;;;;;;587351.683435453;6147067.81615912;-56.0449;-34.8149;POLICLINICA COLONIA NICOLICH;
126146;POL EMPALME NICOLICH;3;CANELONES;3523;COLONIA NICOLICH;;RUTA 101 CAP. JUAN ANTONIO ARTIGAS;;21.2;;RUTA 102 WILSON FERREIRA ALDUNATE;;;;;;;;101 KM 21200 esquina RUTA 102;;14-03-2026;26839586;;;;;;;590732.462244801;6146702.28641979;-56.0079;-34.8179;POLICLINICA EMPALME NICOLICH;
126147;POL JOAQUIN SUAREZ;3;CANELONES;3524;JOAQUIN SUAREZ;;WILSON FERREIRA ALDUNATE;;;;PBRO. ROMULO CARLO;;;;;;;;PEALLER esquina ROMULO CARLO;;14-03-2026;;;;;;;;588341.316731855;6155820.06647948;-56.035;-34.7359;POLICLINICA JOAQUIN SUAREZ;
126148;POL TALAR;3;CANELONES;3322;PANDO;;;;;;LUIS BATLLE BERRES;;;;;;;;HNO EUGENIO esquina 19 DE JUNIO;;14-03-2026;;;;;;;;593682.749589116;6157974.33896798;-55.9769;-34.716;POLICLINICA TALAR;
126150;POL SANTA ROSA;3;CANELONES;3526;SANTA ROSA;;18 DE JULIO;;;;JOSE BATLLE Y ORDO�EZ;;;;;;;;18 DE JULIO esquina JOSE BATLLE Y ORDONEZ;;14-03-2026;;;;;;;;588144.944573756;6182317.12000493;-56.0399;-34.497;POLICLINICA SANTA ROSA;
126151;POL SAUCE;3;CANELONES;3527;SAUCE;;VICENTE PONCE DE LEON;;;;CNEL. PEIRAN;;;;;;;;VICENTE PONCE DE LEON esquina PEIRAN;;14-03-2026;;;;;;;;585785.295358319;6165493.01678468;-56.0639;-34.6489;POLICLINICA SAUCE;
126153;POL LA CAPILLA;3;CANELONES;3529;VILLA CRESPO Y SAN ANDRES;;;;;;MANUEL CALLEROS;;;;;;;;JOSE GORGONIO AGUILAR esquina MANUEL CALLEROS;;14-03-2026;;;;;;;;581473.244478218;6155661.61140231;-56.11;-34.7379;POLICLINICA LA CAPILLA;
126154;POL MANO CON MANO;3;CANELONES;3529;VILLA CRESPO Y SAN ANDRES;;;;;;BLAS BASUALDO;;;;;;;;17 METROS esquina BLAS BASUALDO;;14-03-2026;;;;;;;;582478.15931871;6155419.7601171;-56.099;-34.74;POLICLINICA MANO CON MANO;
126155;POL CASARINO;3;CANELONES;3530;FRACC. CNO. ANDALUZ Y R.84;;;;;;;;;;;;;;CNO DEL ANDALUZ esquina CNO RIVERA;;14-03-2026;;;;;;;;584854.249712958;6153967.46996878;-56.0729;-34.7529;POLICLINICA CASARINO;
126156;POL ATLANTIDA CCOU;3;CANELONES;3621;ATLANTIDA;;;;;;;;;;;;;;CALLE 2 esquina CALLE 4;;14-03-2026;;;;;;;;612933.807368528;6152001.81810035;-55.7659;-34.7679;POLICLINICA ATLANTIDA CCOU;
126157;POL ESTACION ATLANTIDA;3;CANELONES;3622;ESTACION ATLANTIDA;;;;;;LOS LIRIOS;;;;;;;;A PARQUE DEL PLATA esquina LOS LIRIOS;;14-03-2026;;;;;;;;613424.207547618;6154657.80689596;-55.7609;-34.7439;POLICLINICA ESTACION ATLANTIDA;
126158;POL LOS CERRILLOS;3;CANELONES;3624;LOS CERRILLOS;;;;;;;;;;;;;;RUTA 36  esquina LUIS A DE HERRERA;;14-03-2026;;;;;;;;558402.950127198;6170142.64202281;-56.363;-34.6089;POLICLINICA LOS CERRILLOS;
126159;POL EMPALME OLMOS;3;CANELONES;3625;EMPALME OLMOS;;GASTON ROSA;;;;DEOLINDA RODRIGUEZ DE POLLERO;;;;;;;;GASTON ROSAS esquina DEOLINDA RODRIGUEZ DE POLLERO;;14-03-2026;;;;;;;;600585.818078729;6161129.05953954;-55.9019;-34.6869;POLICLINICA EMPALME OLMOS;
126160;POL MIGUES;3;CANELONES;3626;MIGUES;;URUGUAY;;;;25 DE AGOSTO;;;;;;;;URUGUAY esquina 25 DE AGOSTO;;14-03-2026;;;;;;;;625528.155172352;6183007.32096194;-55.6329;-34.4869;POLICLINICA MIGUES;
126161;CS PARQUE DEL PLATA;3;CANELONES;3627;PARQUE DEL PLATA;;TOMAS BERRETA;;;;ZORRILLA DE SAN MARTIN;;;;;;;;DIAGONAL 11 esquina ZORRILLA DE SAN MARTIN;;14-03-2026;;;;;;;;618803.613160207;6152915.02687935;-55.7019;-34.759;CENTRO DE SALUD PARQUE DEL PLATA;
126162;POL PARQUE DEL PLATA NORTE;3;CANELONES;3627;PARQUE DEL PLATA;;;;;;AVDA. ARGENTINA;;;;;;;;CALLE W esquina ARGENTINA;;14-03-2026;;;;;;;;617636.598833005;6154715.83570817;-55.7149;-34.7429;POLICLINICA PARQUE DEL PLATA NORTE;
126163;POL SAN BAUTISTA;3;CANELONES;3628;SAN BAUTISTA;;JUSTO ALVAREZ;;;;YAMANDU MOVRAT CORE;;;;;;;;J P ALVAREZ esquina YAMANDU MAURAT COORE;;14-03-2026;;;;;;;;595542.330041965;6188243.91525926;-55.96;-34.4429;POLICLINICA SAN BAUTISTA;
126164;POL SAN JACINTO;3;CANELONES;3629;SAN JACINTO;;CARLOS REBUFELLO;;;;JOSE ARTIGAS;;;;;;;;CARLOS REBUFELLO esquina JOSE GERVASIO ARTIGAS;;14-03-2026;;;;;;;;603508.854442975;6176735.13301857;-55.8719;-34.5459;POLICLINICA SAN JACINTO;
126165;POL SOCA;3;CANELONES;3630;DR. FRANCISCO SOCA;;25 DE MAYO;;;;ZENON BURGUE�O (HIJO);;;;;;;;25 DE MAYO esquina ZENON BURGUENO;;14-03-2026;;;;;;;;618727.891250109;6161246.06684433;-55.7039;-34.6839;POLICLINICA SOCA;
126166;POL TOLEDO;3;CANELONES;3631;TOLEDO;;RUTA 85;;;;;;;;;;;;S GUILLEN esquina VIA FERREA;;14-03-2026;;;;;;;;583303.272737053;6154536.17465667;-56.0899;-34.7479;POLICLINICA TOLEDO;
126167;POL MONTES;3;CANELONES;3632;MONTES;;;;;;CENTENARIO;;;;;;;;CALLE 11 esquina CENTENARIO;;14-03-2026;;;;;;;;632317.077025882;6182469.41403555;-55.5589;-34.4909;POLICLINICA MONTES;
126168;POL AGUAS CORRIENTES;3;CANELONES;3721;AGUAS CORRIENTES;;AVDA. 18 DE JULIO;;;;AVDA. CARLOS A PAGANINI;;;;;;;;18 DE JULIO esquina CARLOS PAGANINI;;14-03-2026;43372276;;;;;;;556361.948365792;6179792.05160238;-56.3859;-34.522;POLICLINICA AGUAS CORRIENTES;
126169;POL JOANICO;3;CANELONES;3723;JUANICO;;;;;;;;;;;;;;COMPLEJO MEVIR SALON COMUNAL;;14-03-2026;;;;;;;;568134.741716269;6171850.43916209;-56.257;-34.5929;POLICLINICA JOANICO;
126170;POL LA FLORESTA;3;CANELONES;3724;LA FLORESTA;;RBLA. DR. PEREA;;;;AVDA. TREINTA Y TRES;;;;;;;;PEREA esquina TREINTA Y TRES;;14-03-2026;;;;;;;;621088.863449832;6152663.3765894;-55.6769;-34.761;POLICLINICA FLORESTA BALNEARIO;
126171;POL ESTACION FLORESTA;3;CANELONES;3725;ESTACION LA FLORESTA;;;;;;;;;;;;;;PABLO VI esquina SORIANO;;14-03-2026;;;;;;;;620393.088971314;6155456.62767594;-55.6849;-34.7359;POLICLINICA ESTACION FLORESTA;
126172;POL SALINAS;3;CANELONES;3729;SALINAS;;AVDA. JULIETA;;;;GUAZUBIRA;;;;;;;;JULIETA esquina GUAZU VIRA;;14-03-2026;;;;;;;;606228.505071551;6150739.67420739;-55.839;-34.78;POLICLINICA SALINAS;
126173;POL SAN ANTONIO;3;CANELONES;3730;SAN ANTONIO;;ROGELIO MARTINEZ;;;;MARCELINO MOREIRA;;;;;;;;ROGELIO P MARTINEZ esquina MARCELINO MOREIRA;;14-03-2026;;;;;;;;584519.883148587;6187563.16376459;-56.0799;-34.45;POLICLINICA SAN ANTONIO;
126175;POL RAMBLA;3;CANELONES;3732;SOLYMAR;;;;;;;;;;;;;;RAMBLA TOMAS BERRETA esquina CALLE 77;;14-03-2026;26967774;;;;;;;594915.446907616;6144330.83563802;-55.9619;-34.8389;POLICLINICA RAMBLA;
